id,title,description,source
35,"No compromise or deal with planners and architects, says army chief on May 9 anniversary",,dawn.com
36,The lethal troika,,dawn.com
37,An inclusive judiciary,,dawn.com
38,Street safety,,dawn.com
39,Child marriages,,dawn.com
40,Education emergency,,dawn.com
41,Taxing pensions,,dawn.com
42,Orwellian slide,,dawn.com
43,Terror against girls,,dawn.com
44,,,dawn.com
45,The net metering dead end,,dawn.com
46,Education emergency,,dawn.com
47,Waiting to practise,,dawn.com
48,Most hated country in the world,,dawn.com
49,Farmers’ march,,dawn.com
50,Crisis of empathy,,dawn.com
51,"PSX settles at all-time high above 73,000-level",,dawn.com
52,President urges global efforts to deal with climate change,,dawn.com
53,Digitalisation of tax system discussed by FBR,,dawn.com
54,"Operators agree to block non-filers’ SIMs, finally",,dawn.com
55,Rs1.36tr surplus budget for ongoing financial year laid in KP assembly,,dawn.com
56,Govt to focus on strategic state-owned entities only: Ishaq Dar,,dawn.com
57,Sultan Azlan Shah Cup: Pakistan fall as ‘dead sport’ recaptures audience once again,,dawn.com
58,Oltmans asks for more in final against Japan after NZ hold Pakistan,,dawn.com
59,Balbirnie stars as Ireland stun Pakistan in T20 opener,,dawn.com
60,"FIFA not rescheduling Club World Cup after complaint from players’ union, leagues",,dawn.com
61,Brazilian athletes drop Olympic dreams to help flood victims,,dawn.com
62,Pakistan remain unbeaten in Azlan Shah Cup as match with New Zealand ends in tie,,dawn.com
63,"India poll watchdog’s inaction lets PM Modi commit ‘brazen’ violations, opposition says",,dawn.com
64,"First ‘extreme’ solar storm in 20 years strikes earth, brings spectacular auroras",,dawn.com
65,More than 200 dead in Afghanistan flash floods: UN,,dawn.com
66,UNGA backs Palestinian bid for membership,,dawn.com
67,Gunmen kidnap nine students from Nigerian university,,dawn.com
68,Brazilian athletes drop Olympic dreams to help flood victims,,dawn.com
69,"Men must take the lead in standing up against sexual harassment, says Hamza Ali Abbasi",,dawn.com
70,We asked moms what they want for Mother’s Day — no it isn’t kurtas and candles,,dawn.com
71,Going loco for local: Jugnu’s Chief Saab candle is the ultimate Karachi kid nostalgia,,dawn.com
72,Fistula and child marriages: The two epidemics plaguing women in Gilgit-Baltistan,,dawn.com
73,2024 Elections: What’s at stake for India’s minorities?,,dawn.com
74,From screens to streets: How Gen Z is disrupting the status quo and redefining activism,,dawn.com
75,Pakistan’s iCube-Qamar beams back first images from moon’s orbit,,dawn.com
76,"People with two copies of a risk gene have genetic form of Alzheimer’s, say scientists",,dawn.com
77,Paris 2024 gearing up to face unprecedented cybersecurity threat,,dawn.com
78,PAKISTAN’S MOMENT OF YOUTH,,dawn.com
79,ESSAY: HAUNTED BY HER MEMORIES,,dawn.com
80,PSYCHOLOGY: SINGLES AND ATTACHMENT STYLES,,dawn.com
81,STYLE: THE SHOWMAN AT 30,,dawn.com
82,THE TUBE,,dawn.com
83,CINEMASCOPE: DEUCE AND ADVANTAGE,,dawn.com
84,Packaging film sector on the rise,,dawn.com
85,Tax reforms — easier than expected,,dawn.com
86,Wheat’s tricky procurement,,dawn.com
87,Echoes of love,,dawn.com
88,Mailbox,,dawn.com
89,Mother’s Day: A letter to my mum,,dawn.com
90,"Samiya Mumtaz: “To act commercially felt like I was selling my soul to earn, but I put myself out there.”",,dawn.com
91,How digitisation can affect agri-financing,,dawn.com
92,Should agriculture adopt a capitalist model?,,dawn.com
93,China’s CPI up 0.3% in April,,dawn.com
94,A public lesson in politics,,dawn.com
95,"Beijing, Brussels must uphold multilateralism",,dawn.com
96,China’s CPI up 0.3% in April,,dawn.com
97,A public lesson in politics,,dawn.com
98,"Beijing, Brussels must uphold multilateralism",,dawn.com
1,US says Israel may have breached international law using American weapons,"Report says it is ""reasonable to assess"" there have been breaches in Gaza, but admits it does not have ""complete information"".",bbc.com
1,Israeli attacks intensify across Gaza Strip amid evacuation orders,,dawn.com
2,Canada arrests fourth Indian national in killing of Sikh activist,,dawn.com
3,Second night of auroras seen amid ‘extreme’ solar storm,,dawn.com
4,ADB links support with IMF’s clean chit,,dawn.com
5,Govt hints at raising wheat purchase target,,dawn.com
6,"KP governor, CM Gandapur exchange threats in acrid spat",,dawn.com
7,Seven security personnel martyred in North Waziristan,,dawn.com
8,Opposition plans fresh campaign to ‘protect’ Constitution,,dawn.com
9,UAE hits out at Netanyahu for saying it may help run Gaza,,dawn.com
10,Formation of NA standing panels still in limbo,,dawn.com
11,Is PTI Ready to Apologise for May 9th?,,dawn.com
12,What On Earth Does The Government Want From Us?,,dawn.com
13,How Israel’s Killer Robots In Gaza Are Redefining Automated Warfare?,,dawn.com
14,Top News Stories: Pakistan’s Lunar Mission,,dawn.com
15,Why Are Israel And Its Western Allies On The Edge Over ICC Arrest Warrants?,,dawn.com
16,May 9,,dawn.com
17,Top News Stories: Modi Aggression In Kashmir,,dawn.com
18,Americans Are Upset Over US Supporting Violence Against Palestinians,,dawn.com
19,Concerns that Modi’s rhetoric might incite further violence against Indian Muslims are increasing,,dawn.com
20,"May 12, 2007 — the day Karachi went berserk",,dawn.com
21,FIFA’s foul on Pakistan football,,dawn.com
22,Who can rock the hybrid boat?,,dawn.com
23,Looming pension crisis cries out for corrective measures,,dawn.com
24,Smokers’ corner: Khan and the generals,,dawn.com
25,Editorial: It is imperative for the state to reconsider its approach to human rights,,dawn.com
26,Love knows no boundaries at Karachi’s Edhi Home nursery for special children,,dawn.com
27,Sindh’s riverine region in the crosshairs of militia violence,,dawn.com
28,How the insurgency in Balochistan is evolving,,dawn.com
29,Editorial: Tax reforms must go beyond milking the salaried classes and pensioners,,dawn.com
30,To draw or not to draw,,dawn.com
31,Pakistan’s moment of youth,,dawn.com
32,Pakistan’s iCube-Qamar beams back first images from moon’s orbit,,dawn.com
33,Ruling coalition loses 27 reserved seats in Punjab,,dawn.com
34,PIA staff forgets to put boy’s body on plane,,dawn.com
35,Downside risks for Pakistan remain exceptionally high: IMF,,dawn.com
36,Pakistan remain unbeaten in Azlan Shah Cup as match with New Zealand ends in tie,,dawn.com
37,Who can rock the hybrid boat?,,dawn.com
38,Insurgency and social change,,dawn.com
39,Indian elections,,dawn.com
40,Overflowing cups,,dawn.com
41,The lethal troika,,dawn.com
42,A turbulent 2023,,dawn.com
43,A moral victory,,dawn.com
44,Hope after defeat,,dawn.com
45,,,dawn.com
46,The lethal troika,,dawn.com
47,The net metering dead end,,dawn.com
48,An inclusive judiciary,,dawn.com
49,Child marriages,,dawn.com
50,Education emergency,,dawn.com
51,Street safety,,dawn.com
52,ADB links support with IMF’s clean chit,,dawn.com
53,Areas of cooperation with Saudi Arabia identified: PM Shehbaz,,dawn.com
54,IMF endorses status quo in SBP’s policy rate,,dawn.com
55,Exports to Europe fall despite GSP+,,dawn.com
56,PSX scales new highs on economic optimism,,dawn.com
57,CCP issues warnings to 12 beauty brands,,dawn.com
58,FIFA’s foul on Pakistan football,,dawn.com
59,"Bednarek storms to 200m triumph in Doha, Neeraj Chopra falls short",,dawn.com
60,Real Madrid eagerly awaits Mbappe after PSG exit confirmed,,dawn.com
61,Djokovic bottle strike overshadows Rome Open cruise past Moutet,,dawn.com
62,Sultan Azlan Shah Cup: Pakistan fall as ‘dead sport’ recaptures audience once again,,dawn.com
63,‘England great’ Anderson will make last Test appearance in West Indies clash,,dawn.com
64,Second night of auroras seen amid ‘extreme’ solar storm,,dawn.com
65,Canada arrests fourth Indian national in killing of Sikh activist,,dawn.com
66,Israel orders Palestinians to evacuate from more areas of Rafah,,dawn.com
67,UAE hits out at Netanyahu for saying it may help run Gaza,,dawn.com
68,Washington says use of its weapons by Tel Aviv in Gaza violated law,,dawn.com
69,Delhi CM Kejriwal exhorts Indians to resist ‘dictatorship’,,dawn.com
70,"Men must take the lead in standing up against sexual harassment, says Hamza Ali Abbasi",,dawn.com
71,We asked moms what they want for Mother’s Day — no it isn’t kurtas and candles,,dawn.com
72,Going loco for local: Jugnu’s Chief Saab candle is the ultimate Karachi kid nostalgia,,dawn.com
73,Fistula and child marriages: The two epidemics plaguing women in Gilgit-Baltistan,,dawn.com
74,2024 Elections: What’s at stake for India’s minorities?,,dawn.com
75,From screens to streets: How Gen Z is disrupting the status quo and redefining activism,,dawn.com
76,"Art group employs brainwaves, AI to  recreate landscapes",,dawn.com
77,Pakistan’s iCube-Qamar beams back first images from moon’s orbit,,dawn.com
78,"People with two copies of a risk gene have genetic form of Alzheimer’s, say scientists",,dawn.com
79,FIFA’S FOUL ON PAKISTAN FOOTBALL,,dawn.com
80,ESSAY: WE’RE READY FOR YOUR CLOSE-UP NOW,,dawn.com
81,FOOTBALL: GIRLS KICKING MOUNTAINS,,dawn.com
82,STYLE; ALL ABOUT MY MOTHER,,dawn.com
83,"SOUNDSCAPE: AND NOW, AI MUSIC",,dawn.com
84,THE GRAPEVINE,,dawn.com
85,Packaging film sector on the rise,,dawn.com
86,Tax reforms — easier than expected,,dawn.com
87,Wheat’s tricky procurement,,dawn.com
88,Echoes of love,,dawn.com
89,Mailbox,,dawn.com
90,Mother’s Day: A letter to my mum,,dawn.com
91,Challenges working mothers face in the corporate sector,,dawn.com
92,"Samiya Mumtaz: “To act commercially felt like I was selling my soul to earn, but I put myself out there.”",,dawn.com
93,How digitisation can affect agri-financing,,dawn.com
94,State Grid Anhui Electric Power Research Institute uses digital tools to prevent floods,,dawn.com
95,2024 Zambia-China Culture and Tourism Year kicks off in Beijing,,dawn.com
96,Onus on US to stop Gaza conflict and grant Palestine full UN membership,,dawn.com
97,State Grid Anhui Electric Power Research Institute uses digital tools to prevent floods,,dawn.com
98,2024 Zambia-China Culture and Tourism Year kicks off in Beijing,,dawn.com
99,Onus on US to stop Gaza conflict and grant Palestine full UN membership,,dawn.com
1,Israel orders more evacuations as Rafah fighting intensifies,The Israeli military tells thousands of Palestinians to leave the city as it expands its military operation.,bbc.com
